Timestamp,SSIM,B_Var,R_Var,Noise_Max,Contact_Area,Predicted_Label,Confidence
1785393257.620,0.9948,976.9,1069.4,2,0,IDLE,0.00
1785393257.700,0.9948,975.9,1068.3,3,0,IDLE,0.00
1785393257.760,0.9948,973.4,1066.0,2,0,IDLE,0.00
1785393257.817,0.9949,972.6,1065.2,2,0,IDLE,0.00
1785393257.876,0.9949,972.6,1065.2,2,0,IDLE,0.00
1785393257.926,0.9949,973.3,1067.5,2,0,IDLE,0.00
1785393257.976,0.9948,970.3,1067.4,3,0,IDLE,0.00
1785393258.027,0.9949,971.5,1066.0,2,0,IDLE,0.00
1785393258.080,0.9949,971.5,1066.0,2,0,IDLE,0.00
1785393258.150,0.9949,974.8,1064.6,2,0,IDLE,0.00
1785393258.210,0.9948,972.0,1066.3,2,0,IDLE,0.00
1785393258.260,0.9949,973.3,1066.1,2,0,IDLE,0.00
1785393258.311,0.9948,972.5,1065.5,2,0,IDLE,0.00
1785393258.361,0.9948,972.5,1065.5,2,0,IDLE,0.00
1785393258.429,0.9949,972.7,1066.6,2,0,IDLE,0.00
1785393258.502,0.9949,969.9,1065.2,2,0,IDLE,0.00
1785393258.559,0.9949,970.9,1065.6,3,0,IDLE,0.00
1785393258.616,0.9950,971.1,1066.1,2,0,IDLE,0.00
1785393258.676,0.9950,971.1,1066.1,2,0,IDLE,0.00
1785393258.726,0.9949,971.3,1065.3,2,0,IDLE,0.00
1785393258.776,0.9949,971.7,1066.5,2,0,IDLE,0.00
1785393258.828,0.9949,971.6,1065.3,2,0,IDLE,0.00
1785393258.897,0.9949,971.6,1065.3,2,0,IDLE,0.00
1785393258.960,0.9948,971.7,1065.2,2,0,IDLE,0.00
1785393259.009,0.9949,971.6,1065.6,2,0,IDLE,0.00
1785393259.060,0.9948,970.9,1066.0,3,0,IDLE,0.00
1785393259.110,0.9949,970.0,1064.8,2,0,IDLE,0.00
1785393259.161,0.9949,970.0,1064.8,2,0,IDLE,0.00
1785393259.211,0.9949,971.3,1067.0,2,0,IDLE,0.00
1785393259.261,0.9948,971.7,1067.0,2,0,IDLE,0.00
1785393259.311,0.9949,972.3,1065.4,3,0,IDLE,0.00
1785393259.376,0.9949,972.3,1065.4,3,0,IDLE,0.00
1785393259.428,0.9949,972.9,1065.7,2,0,IDLE,0.00
1785393259.507,0.9949,973.2,1065.9,2,0,IDLE,0.00
1785393259.580,0.9948,971.9,1065.5,2,0,IDLE,0.00
1785393259.643,0.9949,971.3,1064.6,2,0,IDLE,0.00
1785393259.693,0.9949,971.3,1064.6,2,0,IDLE,0.00
1785393259.760,0.9948,972.5,1065.8,2,0,IDLE,0.00
1785393259.810,0.9949,972.4,1065.4,2,0,IDLE,0.00
1785393259.890,0.9949,971.0,1064.0,2,0,IDLE,0.00
1785393259.943,0.9948,973.9,1066.8,2,0,IDLE,0.00
1785393259.995,0.9948,973.9,1066.8,2,0,IDLE,0.00
1785393260.059,0.9948,971.8,1065.0,2,0,IDLE,0.00
1785393260.108,0.9948,971.8,1064.1,3,0,IDLE,0.00
1785393260.162,0.9949,971.8,1064.6,2,0,IDLE,0.00
1785393260.235,0.9949,971.4,1064.5,2,0,IDLE,0.00
1785393260.293,0.9949,971.4,1064.5,2,0,IDLE,0.00
1785393260.344,0.9949,971.8,1062.9,2,0,IDLE,0.00
1785393260.424,0.9949,971.5,1065.1,2,0,IDLE,0.00
1785393260.475,0.9949,973.4,1063.6,2,0,IDLE,0.00
1785393260.528,0.9949,973.4,1063.6,2,0,IDLE,0.00
1785393260.593,0.9948,969.4,1064.0,3,0,IDLE,0.00
1785393260.644,0.9948,972.0,1063.0,2,0,IDLE,0.00
1785393260.714,0.9949,971.3,1063.3,2,0,IDLE,0.00
1785393264.589,0.8018,103.4,2152.5,127,76800,BACKGROUND,0.00
1785393264.830,0.8018,103.4,2152.5,127,76800,BACKGROUND,0.00
1785393264.911,0.8018,103.4,2152.5,127,76800,BACKGROUND,0.00
1785393265.923,0.7812,14.3,1073.8,146,76800,BACKGROUND,0.00
1785393266.015,0.7812,14.3,1073.8,146,76800,BACKGROUND,0.00
1785393266.096,0.7812,14.3,1073.8,146,76800,BACKGROUND,0.00
1785393267.225,0.9946,963.7,1045.4,3,0,IDLE,0.00
1785393267.333,0.9946,963.7,1045.4,3,0,IDLE,0.00
1785393267.395,0.9946,963.7,1045.4,3,0,IDLE,0.00
1785393268.573,0.9947,958.9,1040.2,4,1,IDLE,0.00
1785393268.658,0.9947,958.9,1040.2,4,1,IDLE,0.00
1785393268.712,0.9947,958.9,1040.2,4,1,IDLE,0.00
1785393269.890,0.9947,959.1,1040.7,3,0,IDLE,0.00
1785393270.010,0.9947,959.1,1040.7,3,0,IDLE,0.00
1785393270.062,0.9947,959.1,1040.7,3,0,IDLE,0.00
1785393271.206,0.9946,966.1,1041.3,3,0,IDLE,0.00
1785393271.312,0.9946,966.1,1041.3,3,0,IDLE,0.00
1785393271.380,0.9946,966.1,1041.3,3,0,IDLE,0.00
1785393272.522,0.9947,966.5,1040.1,3,0,IDLE,0.00
1785393272.633,0.9947,966.5,1040.1,3,0,IDLE,0.00
