Timestamp,SSIM,PCR_Percent,B_Var,R_Var,Max_Surge,Predicted_Label,Confidence
1785487881.666,0.9948,0.000,958.4,962.0,3,IDLE,0.00
1785487881.897,0.9949,0.000,956.1,961.6,3,IDLE,0.00
1785487882.102,0.9949,0.000,955.4,963.4,2,IDLE,0.00
1785487882.315,0.9948,0.000,956.3,963.1,2,IDLE,0.00
1785487882.533,0.9948,0.000,955.7,962.5,2,IDLE,0.00
1785487882.756,0.9949,0.000,957.8,963.1,2,IDLE,0.00
1785487882.964,0.9948,0.000,956.5,961.4,3,IDLE,0.00
1785487883.181,0.9948,0.000,956.5,962.4,2,IDLE,0.00
1785487883.382,0.9949,0.000,956.3,961.8,3,IDLE,0.00
1785487883.612,0.9949,0.000,957.2,959.9,3,IDLE,0.00
1785487883.847,0.9949,0.000,955.9,961.4,3,IDLE,0.00
1785487884.064,0.9948,0.000,955.8,962.9,2,IDLE,0.00
1785487884.264,0.9948,0.000,955.3,962.1,2,IDLE,0.00
1785487884.465,0.9948,0.000,956.3,962.3,3,IDLE,0.00
1785487884.701,0.9949,0.000,955.4,963.8,2,IDLE,0.00
1785487884.890,0.9948,0.000,955.5,962.7,2,IDLE,0.00
1785487885.104,0.9949,0.000,957.8,962.2,2,IDLE,0.00
1785487885.315,0.9949,0.000,957.1,962.9,2,IDLE,0.00
1785487885.532,0.9949,0.000,953.5,963.5,2,IDLE,0.00
1785487885.749,0.9948,0.000,956.0,964.2,2,IDLE,0.00
1785487885.964,0.9948,0.000,955.9,963.1,2,IDLE,0.00
1785487886.165,0.9948,0.000,956.3,963.4,3,IDLE,0.00
1785487886.383,0.9948,0.000,955.1,962.3,2,IDLE,0.00
1785487886.599,0.9949,0.000,953.1,962.1,2,IDLE,0.00
1785487886.813,0.9949,0.000,955.3,962.7,2,IDLE,0.00
1785487887.047,0.9948,0.000,955.7,962.5,2,IDLE,0.00
1785487887.248,0.9948,0.000,955.3,964.0,2,IDLE,0.00
1785487887.465,0.9948,0.000,957.6,963.8,2,IDLE,0.00
1785487887.682,0.9949,0.000,954.2,963.7,2,IDLE,0.00
1785487887.913,0.9948,0.000,954.7,963.1,2,IDLE,0.00
1785487888.115,0.9949,0.000,955.3,963.8,2,IDLE,0.00
1785487888.332,0.9948,0.000,955.4,962.4,2,IDLE,0.00
1785487888.549,0.9948,0.000,954.9,963.9,2,IDLE,0.00
1785487888.748,0.9948,0.000,955.7,964.3,3,IDLE,0.00
1785487892.569,0.7989,100.000,107.0,2377.2,127,BACKGROUND,0.00
1785487892.689,0.7989,100.000,107.0,2377.2,127,BACKGROUND,0.00
1785487892.874,0.7989,100.000,107.0,2377.2,127,BACKGROUND,0.00
1785487893.050,0.7989,100.000,107.0,2377.2,127,BACKGROUND,0.00
1785487893.267,0.7989,100.000,107.0,2377.2,127,BACKGROUND,0.00
1785487893.889,0.7773,100.000,15.9,1249.0,146,BACKGROUND,0.00
1785487893.997,0.7773,100.000,15.9,1249.0,146,BACKGROUND,0.00
1785487894.151,0.7773,100.000,15.9,1249.0,146,BACKGROUND,0.00
1785487895.212,0.9946,0.000,945.0,951.2,3,IDLE,0.00
1785487895.289,0.9946,0.000,945.0,951.2,3,IDLE,0.00
1785487895.463,0.9946,0.000,945.0,951.2,3,IDLE,0.00
1785487896.531,0.9947,0.000,941.9,948.6,3,IDLE,0.00
1785487896.605,0.9947,0.000,941.9,948.6,3,IDLE,0.00
1785487896.783,0.9947,0.000,941.9,948.6,3,IDLE,0.00
1785487897.838,0.9946,0.000,941.6,948.3,3,IDLE,0.00
1785487897.916,0.9946,0.000,941.6,948.3,3,IDLE,0.00
1785487898.100,0.9946,0.000,941.6,948.3,3,IDLE,0.00
1785487899.179,0.9947,0.000,949.9,950.0,3,IDLE,0.00
1785487899.256,0.9947,0.000,949.9,950.0,3,IDLE,0.00
1785487899.418,0.9947,0.000,949.9,950.0,3,IDLE,0.00
1785487900.481,0.9946,0.000,947.1,948.4,3,IDLE,0.00
1785487900.576,0.9946,0.000,947.1,948.4,3,IDLE,0.00
1785487900.752,0.9946,0.000,947.1,948.4,3,IDLE,0.00
1785487901.805,0.9945,0.000,948.8,949.3,3,IDLE,0.00
1785487901.889,0.9945,0.000,948.8,949.3,3,IDLE,0.00
1785487902.067,0.9945,0.000,948.8,949.3,3,IDLE,0.00
1785487903.123,0.9946,0.000,949.2,949.0,3,IDLE,0.00
1785487903.205,0.9946,0.000,949.2,949.0,3,IDLE,0.00
1785487903.368,0.9946,0.000,949.2,949.0,3,IDLE,0.00
1785487903.575,0.9946,0.000,949.2,949.0,3,IDLE,0.00
1785487904.434,0.9947,0.000,945.5,946.4,3,IDLE,0.00
1785487904.520,0.9947,0.000,945.5,946.4,3,IDLE,0.00
1785487904.669,0.9947,0.000,945.5,946.4,3,IDLE,0.00
1785487905.777,0.9947,0.000,944.2,946.7,3,IDLE,0.00
