Timestamp,SSIM,PCR_Percent,B_Var,R_Var,Max_Surge,Predicted_Label,Confidence
1785726865.884,0.9949,0.000,955.4,945.9,2,IDLE,0.00
1785726866.090,0.9949,0.000,956.7,945.4,2,IDLE,0.00
1785726866.316,0.9949,0.000,956.7,945.4,3,IDLE,0.00
1785726866.540,0.9949,0.000,955.6,945.2,2,IDLE,0.00
1785726866.779,0.9949,0.000,957.3,947.4,2,IDLE,0.00
1785726866.991,0.9949,0.000,953.9,945.7,3,IDLE,0.00
1785726867.215,0.9949,0.000,955.6,946.9,3,IDLE,0.00
1785726867.438,0.9949,0.000,955.8,946.7,3,IDLE,0.00
1785726867.662,0.9949,0.000,956.3,947.4,2,IDLE,0.00
1785726867.901,0.9949,0.000,955.4,948.6,2,IDLE,0.00
1785726868.123,0.9949,0.000,954.2,948.6,2,IDLE,0.00
1785726868.363,0.9949,0.000,955.4,948.8,2,IDLE,0.00
1785726868.587,0.9949,0.000,956.1,948.3,2,IDLE,0.00
1785726868.795,0.9949,0.000,955.8,949.6,2,IDLE,0.00
1785726869.037,0.9949,0.000,955.7,948.3,3,IDLE,0.00
1785726869.245,0.9949,0.000,954.7,949.7,2,IDLE,0.00
1785726869.454,0.9949,0.000,955.6,948.5,2,IDLE,0.00
1785726869.693,0.9948,0.000,956.6,948.5,3,IDLE,0.00
1785726869.917,0.9949,0.000,955.3,948.7,2,IDLE,0.00
1785726870.126,0.9949,0.000,955.9,948.5,3,IDLE,0.00
1785726870.330,0.9950,0.000,955.8,949.4,2,IDLE,0.00
1785726870.538,0.9949,0.000,954.2,951.7,2,IDLE,0.00
1785726870.746,0.9949,0.000,954.6,950.2,2,IDLE,0.00
1785726870.971,0.9949,0.000,955.5,950.2,2,IDLE,0.00
1785726871.210,0.9949,0.000,954.8,950.3,2,IDLE,0.00
1785726871.424,0.9949,0.000,956.9,950.5,2,IDLE,0.00
1785726871.664,0.9949,0.000,955.6,950.4,3,IDLE,0.00
1785726871.877,0.9949,0.000,955.9,951.3,3,IDLE,0.00
1785726872.104,0.9948,0.000,956.5,950.2,3,IDLE,0.00
1785726872.327,0.9949,0.000,955.1,951.5,2,IDLE,0.00
1785726872.557,0.9949,0.000,954.3,951.9,2,IDLE,0.00
1785726872.765,0.9949,0.000,955.2,951.9,3,IDLE,0.00
1785726872.988,0.9949,0.000,953.6,951.8,2,IDLE,0.00
1785726873.212,0.9948,0.000,955.8,952.6,3,IDLE,0.00
1785726873.436,0.9949,0.000,954.9,952.0,3,IDLE,0.00
1785726873.657,0.9949,0.000,955.0,952.8,3,IDLE,0.00
1785726873.881,0.9949,0.000,954.9,953.4,3,IDLE,0.00
1785726874.104,0.9949,0.000,953.2,953.3,3,IDLE,0.00
1785726874.328,0.9948,0.000,953.4,952.5,3,IDLE,0.00
1785726874.568,0.9948,0.000,954.1,952.1,3,IDLE,0.00
1785726874.776,0.9949,0.000,953.4,954.4,3,IDLE,0.00
1785726875.015,0.9949,0.000,954.3,952.7,2,IDLE,0.00
1785726875.239,0.9948,0.000,955.3,953.8,2,IDLE,0.00
1785726875.431,0.9948,0.000,954.5,952.9,3,IDLE,0.00
1785726875.671,0.9949,0.000,954.3,953.4,3,IDLE,0.00
1785726875.878,0.9949,0.000,953.8,953.6,2,IDLE,0.00
1785726876.101,0.9949,0.000,954.8,954.7,2,IDLE,0.00
1785726876.326,0.9949,0.000,956.1,953.2,3,IDLE,0.00
1785726876.549,0.9948,0.000,955.2,952.5,2,IDLE,0.00
1785726876.774,0.9948,0.000,955.0,955.6,2,IDLE,0.00
1785726877.007,0.9948,0.000,955.0,954.4,2,IDLE,0.00
1785726877.231,0.9948,0.000,955.1,954.7,3,IDLE,0.00
1785726877.455,0.9948,0.000,954.9,954.5,2,IDLE,0.00
1785726877.695,0.9949,0.000,953.6,955.3,2,IDLE,0.00
1785726877.919,0.9948,0.000,954.4,954.8,2,IDLE,0.00
1785726878.127,0.9948,0.000,954.7,955.5,2,IDLE,0.00
1785726878.351,0.9949,0.000,954.7,953.7,2,IDLE,0.00
1785726878.580,0.9949,0.000,955.6,954.7,3,IDLE,0.00
1785726878.788,0.9949,0.000,954.5,955.7,2,IDLE,0.00
1785726879.012,0.9949,0.000,955.2,955.6,3,IDLE,0.00
1785726879.254,0.9948,0.000,952.7,956.7,2,IDLE,0.00
1785726879.478,0.9949,0.000,954.0,957.7,2,IDLE,0.00
1785726879.685,0.9948,0.000,953.4,955.7,2,IDLE,0.00
1785726879.925,0.9949,0.000,953.2,957.3,2,IDLE,0.00
1785726880.150,0.9948,0.000,954.0,956.0,2,IDLE,0.00
1785726880.358,0.9949,0.000,954.6,956.8,2,IDLE,0.00
1785726880.582,0.9949,0.000,952.7,955.9,2,IDLE,0.00
1785726880.806,0.9949,0.000,953.8,955.0,2,IDLE,0.00
1785726881.029,0.9949,0.000,956.6,959.6,2,IDLE,0.00
1785726881.254,0.9949,0.000,952.7,956.7,2,IDLE,0.00
1785726881.472,0.9948,0.000,953.4,955.1,3,IDLE,0.00
1785726881.711,0.9949,0.000,955.6,957.5,3,IDLE,0.00
1785726881.919,0.9948,0.000,952.2,956.7,3,IDLE,0.00
1785726882.143,0.9948,0.000,952.6,960.2,2,IDLE,0.00
1785726882.352,0.9948,0.000,954.3,957.6,2,IDLE,0.00
1785726882.573,0.9949,0.000,948.6,961.2,3,IDLE,0.00
1785726882.797,0.9948,0.000,954.9,958.3,2,IDLE,0.00
1785726883.021,0.9949,0.000,953.8,957.4,3,IDLE,0.00
1785726883.244,0.9948,0.000,949.3,956.8,3,IDLE,0.00
1785726883.453,0.9949,0.000,955.3,958.3,2,IDLE,0.00
1785726883.673,0.9948,0.000,954.4,957.5,2,IDLE,0.00
1785726883.897,0.9949,0.000,952.2,960.0,2,IDLE,0.00
1785726884.139,0.9949,0.000,953.4,957.7,3,IDLE,0.00
1785726884.366,0.9949,0.000,953.4,957.7,3,IDLE,0.00
1785726887.663,0.7977,100.000,108.0,2382.9,127,BACKGROUND,0.00
1785726887.898,0.7977,100.000,108.0,2382.9,127,BACKGROUND,0.00
1785726887.967,0.7977,100.000,108.0,2382.9,127,BACKGROUND,0.00
1785726888.146,0.7977,100.000,108.0,2382.9,127,BACKGROUND,0.00
1785726888.356,0.7977,100.000,108.0,2382.9,127,BACKGROUND,0.00
1785726888.998,0.7759,100.000,16.0,1250.9,146,BACKGROUND,0.00
1785726889.083,0.7759,100.000,16.0,1250.9,146,BACKGROUND,0.00
1785726889.241,0.7759,100.000,16.0,1250.9,146,BACKGROUND,0.00
1785726890.322,0.9946,0.000,945.3,946.2,3,IDLE,0.00
1785726890.407,0.9946,0.000,945.3,946.2,3,IDLE,0.00
1785726890.588,0.9946,0.000,945.3,946.2,3,IDLE,0.00
1785726891.623,0.9947,0.000,940.1,944.5,3,IDLE,0.00
1785726891.709,0.9947,0.000,940.1,944.5,3,IDLE,0.00
1785726891.889,0.9947,0.000,940.1,944.5,3,IDLE,0.00
1785726892.943,0.9947,0.000,940.7,944.9,3,IDLE,0.00
1785726893.019,0.9947,0.000,940.7,944.9,3,IDLE,0.00
1785726893.179,0.9947,0.000,940.7,944.9,3,IDLE,0.00
1785726894.267,0.9946,0.000,945.8,947.2,3,IDLE,0.00
1785726894.350,0.9946,0.000,945.8,947.2,3,IDLE,0.00
1785726894.515,0.9946,0.000,945.8,947.2,3,IDLE,0.00
1785726895.595,0.9947,0.000,947.1,946.7,3,IDLE,0.00
1785726895.684,0.9947,0.000,947.1,946.7,3,IDLE,0.00
1785726895.857,0.9947,0.000,947.1,946.7,3,IDLE,0.00
1785726896.920,0.9947,0.000,944.2,945.1,3,IDLE,0.00
1785726897.015,0.9947,0.000,944.2,945.1,3,IDLE,0.00
1785726897.190,0.9947,0.000,944.2,945.1,3,IDLE,0.00
1785726898.251,0.9947,0.000,945.1,946.2,3,IDLE,0.00
1785726898.326,0.9947,0.000,945.1,946.2,3,IDLE,0.00
1785726898.509,0.9947,0.000,945.1,946.2,3,IDLE,0.00
1785726899.547,0.9948,0.000,942.1,942.7,3,IDLE,0.00
1785726899.630,0.9948,0.000,942.1,942.7,3,IDLE,0.00
1785726899.795,0.9948,0.000,942.1,942.7,3,IDLE,0.00
1785726900.874,0.9947,0.000,942.8,943.3,3,IDLE,0.00
1785726900.967,0.9947,0.000,942.8,943.3,3,IDLE,0.00
